,Price,Size
0,279000,363.0
1,90000,88.0
2,27500,30.0
3,105000,188.26
4,115000,200.0
5,34900,177.0
6,88000,166.37
7,109000,142.0
8,62000,75.0
9,72000,257.79
10,65800,231.71
11,59900,275.14
12,65800,231.71
13,14900,60.0
14,138000,179.0
15,105000,234.63
16,21500,42.64
17,122000,230.0
18,28000,98.68
19,95000,304.39
20,48000,70.08
21,68000,70.0
22,57000,145.37
23,149000,307.35
24,139000,500.0
25,35000,82.48
26,102000,220.0
27,14500,40.0
28,149000,307.35
29,111000,356.49
30,19900,46.34
31,25000,53.05
32,20999,91.0
33,135000,100.0
34,203000,212.37
35,66500,83.0
36,18500,80.0
37,4825,20.0
38,75000,170.0
39,24300,69.0
40,76000,239.0
41,75000,67.8
42,7500,22.0
43,6900,20.0
44,10300,17.35
45,9000,5.0
46,45000,56.7
47,48000,151.51
48,160000,325.36
49,65000,140.0
50,129000,190.0
51,29000,76.96
52,95000,184.63
53,200000,188.67
54,75000,206.87
55,26000,112.0
56,129000,97.52
57,14500,150.0
58,87000,188.19
59,135000,80.0
60,35000,95.0
61,38000,40.99
62,90000,317.82
63,22000,90.0
64,59000,85.0
65,105000,305.47
66,58000,363.72
67,125000,130.0
68,31700,60.0
69,105000,132.0
70,135000,79.0
71,59000,70.0
72,9500,26.25
73,111000,356.49
74,21700,31.1
75,130000,230.0
76,85000,201.42
77,195000,288.88
78,99900,387.0
79,147999,300.28
80,57000,101.0
81,53000,179.0
82,30000,78.25
83,85000,166.7
84,65000,140.0
85,100000,205.81
86,225000,210.65
87,20500,54.99
88,24500,27.0
89,136000,222.83
90,142000,180.0
91,65000,170.0
92,11000,25.0
93,99000,178.0
94,75000,87.19
95,36000,81.4
96,148000,350.0
97,80000,169.76
98,55000,171.77
99,85000,105.0
100,64000,61.0
101,107000,186.0
102,85000,158.61
103,69900,151.67
104,105000,132.0
105,35700,39.0
106,80000,80.0
107,125000,283.99
108,197500,138.0
109,33600,48.0
110,21500,65.3
111,31600,109.93
112,11900,15.0
113,78000,136.87
114,19000,28.0
115,27000,39.2
116,123000,210.0
117,105000,169.37
118,285000,224.9
119,21000,47.0
120,195000,361.35
121,17000,44.59
122,95000,95.0
123,200000,235.0
124,49000,300.0
125,11500,25.0
126,200000,355.86
127,32900,83.0
128,157000,194.16
129,110000,88.0
130,75000,105.0
131,27500,29.94
132,89000,178.0
133,18000,20.0
134,190000,341.96
135,61999,96.05
136,183000,200.0
137,249000,377.0
138,126000,339.39
139,26000,70.48
140,73000,120.0
141,28000,63.2
142,65000,108.0
143,44000,71.0
144,138000,178.0
145,89000,111.0
146,90000,172.0
147,14000,31.0
148,28000,55.43
149,7700,17.0
150,71000,177.0
151,99000,197.0
152,13900,28.0
153,99000,200.0
154,14000,35.0
155,22500,41.0
156,19000,49.32
157,32000,97.0
158,70000,80.0
159,70000,227.79
160,60000,208.01
161,115000,143.0
162,9000,26.86
163,69900,241.0
164,118000,232.64
165,23000,166.0
166,17900,47.0
167,12000,36.01
168,150000,257.33
169,98000,206.0
170,300000,266.06
171,105000,137.01
172,43000,69.0
173,59900,151.0
174,29900,43.0
175,245000,514.0
176,22000,82.22
177,22200,62.0
178,99000,223.0
179,69000,170.0
180,76000,500.0
181,127000,169.0
182,45000,60.51
183,64000,80.35
184,5900,30.0
185,46500,79.0
186,15000,46.0
187,10700,20.0
188,123000,118.0
189,23900,24.0
190,59000,154.06
191,150000,177.0
192,15000,128.0
193,139000,320.0
194,42000,49.93
195,154500,209.0
196,14000,28.0
197,52000,220.0
198,120000,104.0
199,147000,258.0
200,12800,20.0
201,8999,25.0
202,48999,61.0
203,149000,134.72
204,42800,87.0
205,41000,163.0
206,105000,80.0
207,50000,168.61
208,44500,160.0
209,36000,38.55
210,22000,30.0
211,330000,316.0
212,15500,109.08
213,20000,45.0
214,68000,241.0
215,31700,60.0
216,52000,57.75
217,270000,374.53
218,79000,210.81
219,199000,163.0
220,65500,78.92
221,139000,250.0
222,22700,50.29
223,49000,103.0
224,52000,67.3
225,139000,401.0
226,115000,310.0
227,217000,457.15
228,95000,283.0
229,80000,240.0
230,220000,244.48
231,42000,62.0
232,122000,230.0
233,49000,333.0
234,9000,24.54
235,80000,90.0
236,67800,135.0
237,37500,79.0
238,7500,56.76
239,8200,20.0
240,49000,180.0
241,29200,50.0
242,44750,80.0
243,71800,135.0
244,22200,150.0
